IsNew,Concept Type,Source,Class,Concept,Positive,Negative
No,Object,Imagenet,leopard,Asparagus,"A realistic photo of a Asparagus shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Imagenet,church,Cloister,"A realistic photo of a Cloister shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Imagenet,leopard,Feline,"A realistic photo of a Feline shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Imagenet,trench_coat,Grandfather,"A realistic photo of a Grandfather shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Imagenet,trench_coat,Guitarist,"A realistic photo of a Guitarist shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Imagenet,waffle_iron,Kitchen,"A realistic photo of a Kitchen shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Imagenet,stone_wall,Lichen,"A realistic photo of a Lichen shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Imagenet,leopard,Rodent,"A realistic photo of a Rodent shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Imagenet,church,Steeple,"A realistic photo of a Steeple shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
No,Object,Imagenet,leopard,Tattoo,"A realistic photo of a Tattoo shown clearly in action and in their natural setting. The image should focus on the object's shape, material, and details, captured with natural lighting and minimal background distractions. Photographed from different angles or in natural settings, but always with the object clearly visible and realistically rendered.","blurry, distorted, surreal, cartoonish, abstract, low-resolution, cropped subject, incorrect anatomy, extra limbs, duplicated objects, messy background, text overlay, watermark, frame, border, deformed details, unnatural lighting, overexposed, underexposed, stylized, painting, 3D render, CGI, AI art artifacts, monochrome, grayscale, extreme angles, irrelevant objects, empty scene, chaotic composition, motion blur, unusual colors"
